chrom,start,end,strand,pattern,subpattern
chr3,148000,148020,-,pos/pattern_0,
chr3,148218,148238,-,pos/pattern_1,
chr3,165960,165980,-,pos/pattern_1,
chr3,166000,166020,-,pos/pattern_0,
chr3,166161,166181,+,pos/pattern_2,
chr3,183960,183980,-,pos/pattern_1,
chr3,184000,184020,-,pos/pattern_0,
chr3,184162,184182,-,pos/pattern_2,
chr3,202000,202020,+,pos/pattern_0,
chr3,202040,202060,+,pos/pattern_1,
chr3,202117,202137,-,pos/pattern_2,
chr3,219803,219823,-,pos/pattern_2,
chr3,219960,219980,-,pos/pattern_1,
chr3,220000,220020,-,pos/pattern_0,
chr3,238000,238020,+,pos/pattern_0,
chr3,238040,238060,+,pos/pattern_1,
chr3,238079,238099,-,pos/pattern_2,
chr3,255873,255893,+,pos/pattern_1,
chr3,256000,256020,+,pos/pattern_0,
chr3,256134,256154,-,pos/pattern_2,
chr3,273777,273797,-,pos/pattern_2,
chr3,274000,274020,-,pos/pattern_0,
chr3,274096,274116,-,pos/pattern_1,
chr3,291920,291940,+,pos/pattern_2,
chr3,291960,291980,-,pos/pattern_1,
chr3,292000,292020,-,pos/pattern_0,
chr3,309858,309878,-,pos/pattern_2,
chr3,309960,309980,-,pos/pattern_1,
chr3,310000,310020,-,pos/pattern_0,
chr3,327883,327903,-,pos/pattern_2,
chr3,327960,327980,-,pos/pattern_1,
chr3,328000,328020,-,pos/pattern_0,
chr3,346000,346020,-,pos/pattern_0,
chr3,346084,346104,-,pos/pattern_1,
chr3,346089,346109,-,pos/pattern_2,
chr3,363885,363905,+,pos/pattern_2,
chr3,363960,363980,-,pos/pattern_1,
chr3,364000,364020,-,pos/pattern_0,
chr3,382000,382020,+,pos/pattern_0,
chr3,382040,382060,+,pos/pattern_1,
chr3,382113,382133,+,pos/pattern_2,
chr3,399821,399841,-,pos/pattern_2,
chr3,399960,399980,-,pos/pattern_1,
chr3,400000,400020,-,pos/pattern_0,
chr3,417960,417980,-,pos/pattern_1,
chr3,418000,418020,-,pos/pattern_0,
chr3,418107,418127,-,pos/pattern_2,
chr3,436000,436020,+,pos/pattern_0,
chr3,436040,436060,+,pos/pattern_1,
chr3,436196,436216,+,pos/pattern_2,
chr3,453916,453936,-,pos/pattern_1,
chr3,454000,454020,+,pos/pattern_0,
chr3,454106,454126,-,pos/pattern_2,
chr3,472000,472020,+,pos/pattern_0,
chr3,472040,472060,+,pos/pattern_1,
chr3,472224,472244,+,pos/pattern_2,
chr3,489960,489980,-,pos/pattern_1,
chr3,490000,490020,-,pos/pattern_0,
chr3,490100,490120,-,pos/pattern_2,
chr3,508000,508020,+,pos/pattern_0,
chr3,508092,508112,+,pos/pattern_1,
chr3,508217,508237,-,pos/pattern_2,
chr3,525763,525783,-,pos/pattern_2,
chr3,525833,525853,-,pos/pattern_1,
chr3,526000,526020,+,pos/pattern_0,
chr3,543910,543930,-,pos/pattern_2,
chr3,543960,543980,-,pos/pattern_1,
chr3,544000,544020,-,pos/pattern_0,
chr3,562000,562020,+,pos/pattern_0,
chr3,562097,562117,-,pos/pattern_1,
chr3,562197,562217,-,pos/pattern_2,
chr3,579960,579980,-,pos/pattern_1,
chr3,580000,580020,-,pos/pattern_0,
chr3,580166,580186,-,pos/pattern_2,
chr3,597840,597860,-,pos/pattern_2,
chr3,598000,598020,+,pos/pattern_0,
chr3,598040,598060,+,pos/pattern_1,
chr3,615786,615806,+,pos/pattern_1,
chr3,616000,616020,-,pos/pattern_0,
chr3,616080,616100,+,pos/pattern_2,
chr3,633917,633937,+,pos/pattern_1,
chr3,634000,634020,+,pos/pattern_0,
chr3,634073,634093,+,pos/pattern_2,
chr3,651884,651904,+,pos/pattern_1,
chr3,651896,651916,+,pos/pattern_2,
chr3,652000,652020,+,pos/pattern_0,
chr3,670000,670020,+,pos/pattern_0,
chr3,670040,670060,+,pos/pattern_1,
chr3,670173,670193,+,pos/pattern_2,
chr3,688000,688020,+,pos/pattern_0,
chr3,688040,688060,+,pos/pattern_1,
chr3,688073,688093,+,pos/pattern_2,
chr3,705936,705956,+,pos/pattern_2,
chr3,706000,706020,+,pos/pattern_0,
chr3,706040,706060,+,pos/pattern_1,
chr3,723922,723942,+,pos/pattern_2,
chr3,723960,723980,-,pos/pattern_1,
chr3,724000,724020,-,pos/pattern_0,
chr3,741893,741913,-,pos/pattern_2,
chr3,742000,742020,+,pos/pattern_0,
chr3,742040,742060,+,pos/pattern_1,
chr3,759787,759807,+,pos/pattern_2,
chr3,760000,760020,-,pos/pattern_0,
chr3,760128,760148,+,pos/pattern_1,
chr3,777794,777814,+,pos/pattern_2,
chr3,778000,778020,+,pos/pattern_0,
chr3,778040,778060,+,pos/pattern_1,
chr3,795882,795902,+,pos/pattern_2,
chr3,796000,796020,+,pos/pattern_0,
chr3,796040,796060,+,pos/pattern_1,
chr3,814000,814020,+,pos/pattern_0,
chr3,814040,814060,+,pos/pattern_1,
chr3,814114,814134,+,pos/pattern_2,
chr3,831960,831980,-,pos/pattern_1,
chr3,832000,832020,-,pos/pattern_0,
chr3,832147,832167,-,pos/pattern_2,
chr3,849836,849856,-,pos/pattern_2,
chr3,849838,849858,+,pos/pattern_1,
chr3,850000,850020,-,pos/pattern_0,
chr3,867867,867887,+,pos/pattern_2,
chr3,868000,868020,+,pos/pattern_0,
chr3,868040,868060,+,pos/pattern_1,
chr3,885960,885980,-,pos/pattern_1,
chr3,886000,886020,-,pos/pattern_0,
chr3,886201,886221,-,pos/pattern_2,
chr3,903854,903874,-,pos/pattern_2,
chr3,903960,903980,-,pos/pattern_1,
chr3,904000,904020,-,pos/pattern_0,
chr3,922000,922020,+,pos/pattern_0,
chr3,922040,922060,+,pos/pattern_1,
chr3,922143,922163,-,pos/pattern_2,
chr3,939886,939906,+,pos/pattern_2,
chr3,940000,940020,+,pos/pattern_0,
chr3,940040,940060,+,pos/pattern_1,
chr3,958000,958020,+,pos/pattern_0,
chr3,958123,958143,-,pos/pattern_2,
chr3,958223,958243,-,pos/pattern_1,
chr3,975886,975906,+,pos/pattern_2,
chr3,976000,976020,-,pos/pattern_0,
chr3,976206,976226,+,pos/pattern_1,
chr3,993871,993891,-,pos/pattern_1,
chr3,994000,994020,+,pos/pattern_0,
chr3,994127,994147,+,pos/pattern_2,
chr3,1011807,1011827,+,pos/pattern_2,
chr3,1011960,1011980,-,pos/pattern_1,
chr3,1012000,1012020,-,pos/pattern_0,
chr3,1029762,1029782,-,pos/pattern_2,
chr3,1029932,1029952,+,pos/pattern_1,
chr3,1030000,1030020,+,pos/pattern_0,
chr3,1048000,1048020,+,pos/pattern_0,
chr3,1048040,1048060,+,pos/pattern_1,
chr3,1048100,1048120,+,pos/pattern_2,
chr3,1066000,1066020,+,pos/pattern_0,
chr3,1066078,1066098,+,pos/pattern_2,
chr3,1066096,1066116,-,pos/pattern_1,
chr3,1083873,1083893,-,pos/pattern_2,
chr3,1084000,1084020,+,pos/pattern_0,
chr3,1084040,1084060,+,pos/pattern_1,
chr3,1101960,1101980,-,pos/pattern_1,
chr3,1102000,1102020,-,pos/pattern_0,
chr3,1102215,1102235,+,pos/pattern_2,
chr3,1119932,1119952,+,pos/pattern_2,
chr3,1120000,1120020,+,pos/pattern_0,
chr3,1120040,1120060,+,pos/pattern_1,
chr3,1137960,1137980,-,pos/pattern_1,
chr3,1138000,1138020,-,pos/pattern_0,
chr3,1138097,1138117,-,pos/pattern_2,
chr3,1155960,1155980,-,pos/pattern_1,
chr3,1156000,1156020,-,pos/pattern_0,
chr3,1156214,1156234,-,pos/pattern_2,
chr3,1174000,1174020,+,pos/pattern_0,
chr3,1174157,1174177,+,pos/pattern_2,
chr3,1174184,1174204,+,pos/pattern_1,
chr3,1191960,1191980,-,pos/pattern_1,
chr3,1192000,1192020,-,pos/pattern_0,
chr3,1192096,1192116,-,pos/pattern_2,
chr3,1210000,1210020,+,pos/pattern_0,
chr3,1210040,1210060,+,pos/pattern_1,
chr3,1210105,1210125,+,pos/pattern_2,
chr3,1227811,1227831,-,pos/pattern_2,
chr3,1228000,1228020,+,pos/pattern_0,
chr3,1228040,1228060,+,pos/pattern_1,
chr3,1246000,1246020,+,pos/pattern_0,
chr3,1246040,1246060,+,pos/pattern_1,
chr3,1246159,1246179,+,pos/pattern_2,
chr3,1263809,1263829,+,pos/pattern_2,
chr3,1264000,1264020,-,pos/pattern_0,
chr3,1264156,1264176,-,pos/pattern_1,
chr3,1281889,1281909,-,pos/pattern_2,
chr3,1281960,1281980,-,pos/pattern_1,
chr3,1282000,1282020,-,pos/pattern_0,
chr3,1299886,1299906,+,pos/pattern_2,
chr3,1299960,1299980,-,pos/pattern_1,
chr3,1300000,1300020,-,pos/pattern_0,
chr3,1317818,1317838,-,pos/pattern_2,
chr3,1317960,1317980,-,pos/pattern_1,
chr3,1318000,1318020,-,pos/pattern_0,
chr3,1336000,1336020,-,pos/pattern_0,
chr3,1336217,1336237,-,pos/pattern_1,
chr3,1336219,1336239,+,pos/pattern_2,
chr3,1353924,1353944,-,pos/pattern_2,
chr3,1354000,1354020,+,pos/pattern_0,
chr3,1354040,1354060,+,pos/pattern_1,
chr3,1371922,1371942,+,pos/pattern_1,
chr3,1372000,1372020,+,pos/pattern_0,
chr3,1372147,1372167,-,pos/pattern_2,
chr3,1389785,1389805,-,pos/pattern_2,
chr3,1390000,1390020,+,pos/pattern_0,
chr3,1390040,1390060,+,pos/pattern_1,
chr3,1408000,1408020,+,pos/pattern_0,
chr3,1408040,1408060,+,pos/pattern_1,
chr3,1408151,1408171,-,pos/pattern_2,
chr3,1425940,1425960,-,pos/pattern_2,
chr3,1425960,1425980,-,pos/pattern_1,
chr3,1426000,1426020,-,pos/pattern_0,
chr3,1443761,1443781,-,pos/pattern_2,
chr3,1443960,1443980,-,pos/pattern_1,
chr3,1444000,1444020,-,pos/pattern_0,
chr3,1461809,1461829,-,pos/pattern_2,
chr3,1462000,1462020,+,pos/pattern_0,
chr3,1462040,1462060,+,pos/pattern_1,
chr3,1479786,1479806,-,pos/pattern_2,
chr3,1479960,1479980,-,pos/pattern_1,
chr3,1480000,1480020,-,pos/pattern_0,
chr3,1498000,1498020,+,pos/pattern_0,
chr3,1498040,1498060,+,pos/pattern_1,
chr3,1498076,1498096,+,pos/pattern_2,
chr3,1515829,1515849,-,pos/pattern_2,
chr3,1515960,1515980,-,pos/pattern_1,
chr3,1516000,1516020,-,pos/pattern_0,
chr3,1533849,1533869,-,pos/pattern_1,
chr3,1533898,1533918,+,pos/pattern_2,
chr3,1534000,1534020,+,pos/pattern_0,
chr3,1552000,1552020,-,pos/pattern_0,
chr3,1552177,1552197,-,pos/pattern_1,
chr3,1552219,1552239,-,pos/pattern_2,
chr3,1569960,1569980,-,pos/pattern_1,
chr3,1570000,1570020,-,pos/pattern_0,
chr3,1570122,1570142,+,pos/pattern_2,
chr3,1588000,1588020,+,pos/pattern_0,
chr3,1588040,1588060,+,pos/pattern_1,
chr3,1588082,1588102,-,pos/pattern_2,
chr3,1605923,1605943,-,pos/pattern_2,
chr3,1606000,1606020,+,pos/pattern_0,
chr3,1606040,1606060,+,pos/pattern_1,
chr3,1623960,1623980,-,pos/pattern_1,
chr3,1624000,1624020,-,pos/pattern_0,
chr3,1624228,1624248,-,pos/pattern_2,
chr3,1641924,1641944,-,pos/pattern_1,
chr3,1642000,1642020,-,pos/pattern_0,
chr3,1642078,1642098,-,pos/pattern_2,
chr3,1659857,1659877,-,pos/pattern_2,
chr3,1660000,1660020,+,pos/pattern_0,
chr3,1660040,1660060,+,pos/pattern_1,
chr3,1678000,1678020,+,pos/pattern_0,
chr3,1678040,1678060,+,pos/pattern_1,
chr3,1678132,1678152,+,pos/pattern_2,
chr3,1695921,1695941,-,pos/pattern_1,
chr3,1696000,1696020,+,pos/pattern_0,
chr3,1696064,1696084,-,pos/pattern_2,
chr3,1713823,1713843,+,pos/pattern_2,
chr3,1713960,1713980,-,pos/pattern_1,
chr3,1714000,1714020,-,pos/pattern_0,
chr3,1731862,1731882,-,pos/pattern_2,
chr3,1732000,1732020,+,pos/pattern_0,
chr3,1732040,1732060,+,pos/pattern_1,
chr3,1749802,1749822,-,pos/pattern_1,
chr3,1750000,1750020,+,pos/pattern_0,
chr3,1750213,1750233,+,pos/pattern_2,
chr3,1768000,1768020,-,pos/pattern_0,
chr3,1768109,1768129,+,pos/pattern_1,
chr3,1768121,1768141,-,pos/pattern_2,
chr3,1785960,1785980,-,pos/pattern_1,
chr3,1786000,1786020,-,pos/pattern_0,
chr3,1786108,1786128,+,pos/pattern_2,
chr3,1803783,1803803,-,pos/pattern_2,
chr3,1804000,1804020,+,pos/pattern_0,
chr3,1804040,1804060,+,pos/pattern_1,
chr3,1821835,1821855,-,pos/pattern_2,
chr3,1822000,1822020,+,pos/pattern_0,
chr3,1822040,1822060,+,pos/pattern_1,
chr3,1840000,1840020,+,pos/pattern_0,
chr3,1840109,1840129,-,pos/pattern_2,
chr3,1840132,1840152,+,pos/pattern_1,
chr3,1857960,1857980,-,pos/pattern_1,
chr3,1858000,1858020,-,pos/pattern_0,
chr3,1858169,1858189,+,pos/pattern_2,
chr3,1875873,1875893,+,pos/pattern_1,
chr3,1875901,1875921,-,pos/pattern_2,
chr3,1876000,1876020,+,pos/pattern_0,
chr3,1893880,1893900,-,pos/pattern_1,
chr3,1894000,1894020,-,pos/pattern_0,
chr3,1894083,1894103,+,pos/pattern_2,
